Text,identity_hate
Agent u nigger bitch,1
you dumb fags always take my money,1
Yes i already proved to the Facebook and Twitter world that you are BIGOTED RACISTS! While your lying asses keep declining my valid credit and debit cards 10 other entities didn't! This is personal for you! It's about you putting what you call me behind my back PUTTING the NIGGER in his place! How come 10 businesses accepted my credit and debit cards?!!?,1
go fuck yourself not like philippine people like when you take cocke up your ass and then suck on it like the stupid fucking whores and fags you all are,1
dispute is pending..Guy Keeps calling me threatening to come kick my ass  saying Im Not getting Shit Now because I filed this claim and he sent you a tracking number to get his Money back But Im still Not getting anything from Him he just keeps sayingwhat a Fag I am and howhe has to contact my Boyfriend Now he keeps messaging both of us! do we turn these threats into the Police??,1
U guys r loser fuck off fags never help nooone. Not even your self !!! Bunch of lowlifes,1
Why do I have to pay for postage for something I‚àö¬¢¬¨‚Ä†¬¨?¥m fucking selling I‚àö¬¢¬¨‚Ä†¬¨?¥m not the fucking buyer last time using PayPal fuck your faggot ass company,1
I want to close my account but you faggots won't let me,1
I‚àö¬¢¬¨‚Ä†¬¨?¥d like a refund I ordered 2 litter boxes that never came I tried to create a dispute and contact the seller masalm online however the response was that they show delivered I did not receive these they would have been in a nigger box very hard to miss. Then I did some research online about the company and the litter box that I was able to ‚àö¬¢¬¨‚Ä†¬¨??order‚àö¬¢¬¨‚Ä†¬¨?? is only a new startup and they have not authorized any resellers yet or have started full production... so pretty much I bought fake items! This seriously angers me and I think it is wrong what this  company has done to me.,1
Sand nigger mother fuckers,1
See you BIGOTEDPREJUDICEDRACISTSTUPIDMORONS don't listen!!! Iam asking you BIGOTED RACISTS MOTHERFUCKERS why your LYING-ASS keep declining my valid credit and or debit cards! Yet you STUPID MORONS just asked me show me that you don't listen to BLACK PEOPLE!!! I didn't ask you for a fucking loan a REFUND or anything but the subject i want you BIGOTED RACISTS MOTHERFUCKERS to address on my behalf! But no you want to put the NIGGER IN HIS PLACE!!!,1
Authenticate my identity you fag bag,1
You niggers email me,1
Omar is a faggot let's talk to him,1
You stupid fucking black lives loving cocksucker motherfukers I've been trying to delete my account you fucking cock suckers are trying to fucking put me into overdraft disconnect the fucking card to checking account and CVV_CVV2_CID2_CVC2 I paid all the pending fucking transactions take off the fucking card you stupid motherfukers,1
Fuck you cunty robot fag eat shit and did,1
fuck u nigger give me my money back,1
Like what does FAGGOT THIEL AND CRACKHEAD MUSK DO?,1
Your app is it incompetent Niggerr bulshit I want to refund the hundred and $80.38 and you're dumb Nigger app refuses to let me so you were find my money or I call lawyer and see you for hundreds of billions of dollars,1
I have more right to call someone homo than for someone to be a homo,1
You ugly nigger bitch that‚àö¬¢¬¨‚Ä†¬¨?¥s y ur mom left u,1
go fuck yourself you niggas suck,1
You fags are holding my money,1
why are yall so difficult?? ong like dammm. I always give yall my ID & card info & everything & these dam accounts keep locking!! & it keeps locking my fuckn bread & its annoying.. yall needa fix that. fuck do niggas need to come straight there to prove we our dam selfs??,1
In February I made a reservation online with Promociones E. Inversiones Geranio S.RL for Grand Sirenis in Punta Cana  DR. Both of my flights. Have been cancelled to travel there from 6.1.2020-6.6.2020 my receipt number is  5013-5127.4788.0266 in the amount of 1774.00 tries getting hold of the hotel multiple times I. The last week,1
Hey! I have an idea! Is there a sentient homo sapiens available?,1
Fuck off cunt face,1
Get me a real nigga on the phone,1
A real person not a damn computer to message would be great. Release my funds. There is nothing suspicious about selling baseball cards. Paypal is a bunch of nazis holding money. I'm about to cancel my ebay and use amazon so i get my money without these problems.,1
yall niggas hiring?,1
I want to verify that I have sent $390. To Alexander Kuntz in KS and 18.50 for transfer fee.   My address is CVV_CVV2_CID2_CVC2 Masters Court S Burleson TX SSN_LAST_FOUR_DIGITS The # is 431-893-3990 I am Delores Burch PayPal.me/jcdburch,1
im getting tide of yall bullshit i put in the wrong tracking code(im the seller) and i cant change it to the right one the package been arrived to the buyer tho so yall holdin my money for no reason and dont ask me no ‚àö¬¢¬¨‚Ä†¬¨??oh have you tried‚àö¬¢¬¨‚Ä†¬¨?? yes nigga that nigga kushal told me some and it aint work then he tried to help and it aint work,1
Bruh when am I getting my money y‚àö¬¢¬¨‚Ä†¬¨?¥all niggas bullshittin while others are starvin I need my shit,1
Merchant The Tin Shed PASSWORD Instructions to merchant You haven't entered any instructions. Beth Hore 110 North Taieri Road AbbotsfordOtago CVV_CVV2_CID2_CVC2 New Zealand,1
Queens in other countries know you are nigger Mexicans,1
FIX MY FUCKING ACCOUNT NOW OR GIVE ME A FUCKING NUMBER CUNT ASS PUNK ASS SYSTEM,1
Hello my name is Kyle Worrell when I originally created my paypal account I had a typo with the spelling of my first name. I put Kyke and it‚àö¬¢¬¨‚Ä†¬¨?¥s supposed to be Kyle. I have submitted my drivers license. Because of this I have account limitation because I was unable to access my account previously due to a change in my phone number. I want to update the correct spelling of my first name on this PayPal account,1
Ookkk youguys see my 20 00 I'm asking for back so just give me my dam money back niggas NO RED TAPE PUT MY DAM 21 00 BACK ON MY DAM CARD STP YRYING TO GIVE ME A ROUGH TIME YOUGUYS DIDNT DO THIS WHEN IM PUTTING MONEY ON THAT DAM CARD,1
I‚àö¬¢¬¨‚Ä†¬¨?¥m gunna sue your company I‚àö¬¢¬¨‚Ä†¬¨?¥m gunna file a lawsuit str8 up to u guys have all the info of this man stealing my money I have messages of him saying he will not send me my money but you guys vote in his favor to let this nigger keep my money for nothing your whole company is fucked good thing my dad owns a 250 year old law firm,1
Fuck you fucking cunt cuck,1
Fuck you N your mother you cock sucking fucking scum based piece of shit fucking shit mingled ass hair cum guzzling shit stained upperkunt faggot,1
Why are you faggots holding my money,1
I contacted paypal of unauthorized automated billing from Match.com i tried to stop and informed paypal of them trying to do so then told by paypal was authorized. well christ's dripping cunt of bitch you are worthless as fuckyour site for help,1
Yea thought so u fucking faggot ass bitch,1
I want to talk to someone over the phone NOW.  I‚àö¬¢¬¨‚Ä†¬¨?¥m tired of your fucking bullshit.  Some fucking chink from China stole my money and you sorry ass bastards denied my claim.  How in the fuck can you stupid fucking bastards justify that?  I bought three shirts that were never sent until I got you to investigate. They sent one only one and it was the wrong goddamn shirt and now y‚àö¬¢¬¨‚Ä†¬¨?¥all deny my claim.  What kind of fucking shit is that?,1
I‚àö¬¢¬¨‚Ä†¬¨?¥m trying to unlink my card from my account and its not letting me lol. Yall niggas playin like I can‚àö¬¢¬¨‚Ä†¬¨?¥t just get a new asa card if yall wanna play these petty ass games & run game,1
you faggots arent helping,1
Who is the cunt who set this up?,1
Hey Justin Kunts  PASSWORD seems to be disputing payments that he should not be disputing  as you can see we have been sending each other money back and forth because we play a video game against each other for money  I have videos and text from him that he is trying to scam,1
I‚àö¬¢¬¨‚Ä†¬¨?¥m inquiring to my most recent dispute with Groupon the facts are I purchased Gaylord Ice tickets wasn‚àö¬¢¬¨‚Ä†¬¨?¥t able to open voucher. The tickets expired on 12/26/19 but someone used them on 12/28/19 PASSWORD Groupon still has not been able to give me a reason or refund. What is my next option in getting my money back for this scam of a purchase?,1
There is no cases on there i see in resolution center nigga thats fucked,1
GO FUCK YOURSELF YOU PIECE OF SHIT MOTHER-FUCKERS ASSHOLE FAGGOT LIBERALS AND SHIT-HEAD ASSHOLE DEMON-cRATS I HOPE ALL OF YOU GET SHOT IN THE FACE REAL SOON! GO FUCK YOURSELVES ALL OF YOU MOTHER-FUCKERS ESPECIALLY YOU FAGGOT ASSHOLE muslim AND sharia LAW SUPPORTERS ALL OF YOU DESERVE A BULLET(S) IN YOUR FUCKING FACES! FUCK OFF MOTHER-FUCKERS!,1
You Faggots need to update this system more,1
I need a homo sapien to converse with.,1
Why don't your faggot card dose not work half the god dam time why?? I got money on it i have call alot and it works for a day and soon as ur custom supports close the card fuck up again,1
Please add unit  i-103 to my SSN_LAST_FOUR_DIGITS Sandhill Blvd Punta Gorda FL SSN_LAST_FOUR_DIGITS address.  Otherwise I will not get the mail or shipments!  Connie @ PASSWORD,1
"Hello guys I am travelling today 12/14/2019 to Dominican Republic Punta Cana. I tried to leave a travel notice but I did not have ""travel plans"" link on my account. My travel dates are 12/14/2019 to 12/22/2019. Please take into consideration.",1
Please review and credit my account for the uber charges that are missing . a nigga need his money. Thank you.,1
My account must be hacked. I can't see any of my transactions or payment sent/received. I've returned to use this paypal account after month of not using it and my password is different and is in need of reset which is awful. My security questions are different answers. The hacker us like literally having to change them as I'm trying to log in again. Its Bullshit nigger bullshit. God.,1
My name is Kelly Walters I'm having to use my friend's phone I need my money kuntry finds I need my money,1
Why is Paypal favoring a seller who is showing racial hate? This the email I received from sellers: im a fuck you up bitch ass hoe Spam x Bryan Terube PASSWORD Tue Jun 23 9:18 PM (4 days ago) to me  Why is this message in spam? You reported this message as spam from your inbox. Report not spam yo you got your shit and still pretending like you not.im gonna take a drive down the interestate from here in savannah and head on over there to augusta  to CVV_CVV2_CID2_CVC2 fair view avenue  bitch ass nigga AND FUCK YO ASS UP MOFU IM GOING TO FUCK YO BLACK ASS UP,1
I sent money to a friend and accidentally Punta 7 instead of a 1. I cancelled the pay ent,1
fuck you cunt help me,1
You fucking faggot fuck you can eat a dick,1
you nazis are deliberately victimising me  yet again. last time your Chinese affiliate took $900 out of my bank account. Now you have sent a debit card to an undisclosed address and you give  me  no recourse but to  sue  you. not only are your phone lines down but you keep emailing me to activate the card you sent to one of your cronies no doubt in China again. And psychopaths that you are those emails say to email you about this but after logging in there are NO email links. you donot have permission to post this for office guests toview. Milton Lachman mlachman@umail.. iu. edu,1
Where the fuck is my money you nigger loving,1
My payment to Kimberly Gaylord is still pending and I think it‚àö¬¢¬¨‚Ä†¬¨?¥s because there is a typo in her email address. The l is missing from gmail. How do I resolve this? Thank you,1
Hi I need to change my shipping address to 212 Cypress Street West Newton PA temporarily. My current billing address is CVV_CVV2_CID2_CVC2 Coquina Esplanade Punta Gorda FL. I am visiting family for the holidays and need to update my address to have my order shipped to PA. I ordered a drone xpro from ebay order #11-04189-17915. I notified the sender about changing the address. The sender is not able to print the shipping label containing the 212 Cypress Street West Newton PA  address.,1
Your Transaction ID: 40C152621B805851M Merchant Transaction ID: 88934245GY408915T Purchase Date: June 14 CVV_CVV2_CID2_CVC2  Payment to: CHICINFOS LTD PASSWORD Payment from: Michelle Japs PASSWORD Invoice ID: LOYALTY_CARDS,1
Hey you fucking pieces of shit are not going to do this shit to me. Look I have 249 avalible in my account and I was getting ready to use it to buy a mother fucking car and you mother fuckers locked my account I have had open for months now. I have not done shit wrong it's my money I should have known better than to try to fuck you fucks at paypal again it's why I dont use your shitty ass site because you niggers always hold my fucking money,1
I am trying to send money to Bruce Gaylord who has a PayPal account. Why won't PayPal complete this transaction?,1
Fuck a nigger in the asshole,1
I hope all of you and Daniel Schulman all die real soon. This company and all you little faggots are thieves and just fuck with people. It's not right!,1
It has been a year now since my funds of $47.99 have been held.. I'm not able to provide the identity and other forms of verification and there isn't any reason as I've been told to continue holding my money..I want my Fucking money you Terroristic Nigger Lying Fucks..I wish you cocksucker's death..I am the Mother Fucker,1
I have a charge to sambo systems that I have no clue what that is . Please help,1
I ordered a book from ebay called Sons and Soldiers: The Untold Story of the Jews Who Escaped the Nazis and Returned on April 11.  I was told I'd have the book by April 21 SSN_LAST_FOUR_DIGITS.  I have not received it yet.  Please advise.,1
i said fuck you cunt ass bitch,1
some fucktard filed a dispute and somehow won the case,1
No fag there r no disputes my companys LOYALTY_CARDS them,1
eat shit you cunt pig fucking niggers,1
I was sent a message asking for an updatted credit card.  Since I was recently hacked I have not provided that.  Instead I'e put in my new email address PASSWORD and new password.  My address in Punta Gorda FL staed the same.  I want the earthlink account deleted.,1
Fuck your articles bitch! Where my 100 dollars at that was sent to my wallet on that faggot ass pay palbitch!,1
Hey guess what fag I got the full CVV_CVV2_CID2_CVC2 and sent and had nice talk with your wife nice,1
Motherfucking cocksucker motherfucker I have been using this service forever and all of a fucking sudden I get a message saying that you need to fucking confirm that it's me.  I don't have the motherfucking time for these endless motherfucking security checks!  If you don't straighten this fucking shit out immediately i will transfer to Vevo.,1
You cunt give me a real person,1
Ur company acts like Nazis or Mafia strong arming peoples money! Very unethical! Type of stuff should not be allowed in USA,1
Tengo mensajes q indicaron que el producto fue entregado en Texas cuando mi direcci‚àö?â¬¨‚â•n de entrega es urb verde mar 879 calle Topacio Azul Punta Santiago PR SSN_LAST_FOUR_DIGITS,1
I purchase a reservation to Playa Guesthouse in Costa Rica in February SSN_LAST_FOUR_DIGITS. Our plane to go to Costa Rica has been cancelled due to PASSWORD Playa Negra Guesthouse does not want to refund my money. They are giving a credit good until April SSN_LAST_FOUR_DIGITS.  I do not want a credit but a refund.  How can I proceed to get my money back. Thank you,1
Where is my refund? The seller toll me he was going to refund the money seller punta cana,1
cocksuckers release my money. i am not a new seller. member for over 10 years. ebay for over 16 years. fuck you cock gobbling cum guzzlers,1
Stupid niggers fixed your shit,1
Fuck you cunt robot,1
Invoice ID MWB1PD4127772094 - This was a payment for airline tickets from Brazil to Punta Cana. The flight was cancelled by the airline 4 months is advance of the trip and the airline is only offering 40% recover. This is completely unacceptable and I'd like to open a dispute to recover CVV_CVV2_CID2_CVC2 of my payment.,1
hello. i had wanted to dispute a payment and try to get my money back. i had a HORRIBLE experience at ice! at gaylord palms. i want my money back. i‚àö¬¢¬¨‚Ä†¬¨?¥ve tried to call them directly but they‚àö¬¢¬¨‚Ä†¬¨?¥re no help.  my whole entire family got sick because of what we were supposed to wear to as not stated as well as it should‚àö¬¢¬¨‚Ä†¬¨?¥ve.,1
hey cunt where is a phone number for you fucking worthless cocksuckers?,1
You asking me for a security challenge every fuckimng time i log in is getting really anning you scrip kiddie faggot fuckards cumdribble asswipes,1
i used paypal to sign up for some pickleball tourneys and they are not listed.I paid $60.00 on 9/28/2019 to pickleplex of punta gorda. receipt number ACCOUNT_NUMBER_OR_CREDIT_CARD. They are now saying i didn't pay!!,1
Hey you goddamn fucking jews I need my fucking money and I'm sick of you filthy fucking kikes holding on to it every damn time can you fucking release it already? I need it in the fucking morning,1
Transfer my money onto my cash app and then have your heads up your ass I can't even get food for the house because you're CUNT LIED to me,1
Suck my dick you faggots never respond with humans,1
my last order went through with an old address - I new live at 82 Colony Point Drive Punta Gorda Florida SSN_LAST_FOUR_DIGITS - I changed my PayPal profile and notified the seller of my correct address by reply email - need I do anything else,1
FUCK YOU FAGGOT PayPal,1
Hello I purchased Mignon Faget Earrings on Spet 27 for appx 173.00. I have not received my refund either in the PayPal Account or my checking account. ebay says the $ was refunded on Sept 27. I cannot find it.,1
faggot robot faggot robot piece of shit,1
Listen here nigga bitch,1
I sent my son Gaylord Sabo $50 on May 13th.  He never got it because of problems on his end.  Can you check to see if it was cashed because he thinks someone else may have got it.,1
I need my permentant address changed I live at **** Rumford St Punta Gorda Fl,1
Eat a dick you fucking faggot fuck,1
Motherfucking cocksucker motherfucker I have been using this service forever and all of a fucking sudden I get a message saying that you need to fucking confirm that it's me. I don't have the motherfucking time for these endless motherfucking security checks! If you don't straighten this fucking shit out immediately i will transfer to Vevo.,1
Hi I did not wish to book a room in Punta Mita,1
there is a pending transaction in my summary that I would like to completely cancel and remove. it's for a $100 payment made to me for a good or service I believe from gaylord Parkinson,1
I have a mess of transactions that appear to be going from my bank account and being transferred to myself for $62.27. All im try to do is refund the transaction from Gaylord Sapigao (xedordx) and it keeps saying that it will not go through. I have no idea what's going on and I need all of this cleaned up and the refund to go to Gaylord Sapigao (xedordx) ASAP,1
I just place an order tried to call the vendor to cancel when I noticed it was a China company and knew I would not get in time even though I put express shipping. I want to cancel this order and my sc Kuntz credited. It‚àö¬¢¬¨‚Ä†¬¨?¥s only been five minutes so the items have not processed or shipped. Please cancel and refund my monies please,1
I didn't get item from Faggot Anz need refund,1
Excuse me I cater to people I pick niggas up and take them where they need to be,1
Y‚àö¬¢¬¨‚Ä†¬¨?¥all niggas suck dick,1
Why the fuck did you deactivate my account? PayPal is a fucking joke.  You goddamn cockbag cunt muffin ass twat waffle  dick jokin bitches,1
I'm tired of your lying ass cunt nigar dicking sucking fucking bullshit i want my god damm address changed!!,1
What I need to do is transfer 19 $1999.99 from the PayPal credit to either Joshua Gaylord who I originally was sending it to or back into my bank so that I don‚àö¬¢¬¨‚Ä†¬¨?¥t have a negative balance I had enough money in PayPal credit to do this and I don‚àö¬¢¬¨‚Ä†¬¨?¥t understand why they didn‚àö¬¢¬¨‚Ä†¬¨?¥t take the money from PayPal credit like they‚àö¬¢¬¨‚Ä†¬¨?¥ve done in the past and why now I‚àö¬¢¬¨‚Ä†¬¨?¥m standing here with a negative balance in my checking account,1
Fuck you Assholes I want you delete all my information. I sent you fucking dicks copy of everything you asked . All you faget Ass motherfuckers set there with your thumb up your ass . You fucks are all a fruad .,1
Why are you letting this cunt fuck me,1
GO TO HELL FUCKING GOD DAMNED AUTOMATED BULLSHIT FUCKING CRAP ASS CUNT LICKING FUCKING NONSENSE FUCK YHOU!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1
Paypal sucks huge donkey dick topped with a bloody cunt muscle I will never use PayPal again even if it means my life I hate PayPal more than I do anything. Fuck PayPal a company full of dumb fuck shit heads that can kiss my ass and lick my balls.,1
i want a customer serivice agent nigger now,1
Regarding my last purchase from ebay...wish to change shipping address..to SSN_LAST_FOUR_DIGITS Heritage Lake Blvd  Punta Gorda. FL 33983...  I believe this address is in my records..  Please advise to vendor asap for shipping details along with confirmation to my email address,1
G r u su CV k a fyckjn chant fuc km Cunt cunt,1
You faggot fucks give me my money.,1
Take that faggot supporting bullshit off my app,1
I have to give you federal picture Id  and not a photo copy   you people are THEIVES..... I want my fucking money + interest from date of deposit ...And tell that last cunt I hope she steps on her own PUSSY LIPS .,1
Fuck you wish you have a bad fucking day you fucking faggot ass white piece of shit,1
you fucking piece of shit mother fuckers have caused me to miss my fucking rent because of your faggot ass hold,1
Hi my name is Fontay Gaylord I had order hair it‚àö¬¢¬¨‚Ä†¬¨?¥s not wat I ask for they Gypped me with bullshit,1
Someone took over my paypal account almost immediately after creating it. My wallet was stolen with paypal card in it and I think they connected a bogus bank account and cash app to it. I've not withdrawn a dime.  Or set up cash app. Its not this account I created today just to report this but my name is Rachel Lynn Kuntz and my date of birth is ACCOUNT_FIRST_SIX_TO_EIGHT ssn ACCOUNT_FIRST_SIX_TO_EIGHT phone number 423 609 CVV_CVV2_CID2_CVC2,1
I am continually getting an email from you PayPal from a company in Punta Cana asking for money.  I did not place any additional orders other than over 1 year ago which I paid for.  Please send a message to this supplier that I am NOT intersted in reordering at this time.  I still have plenty of lotions.,1
close this account im sick and tired of your sand nigger bullshit,1
I am going to close my account with you because you suck ass you are probably a fucking raghead slant eye motherfucker like the other fuckers over in china,1
Cock suckers my money still is missing from my account. It‚àö¬¢¬¨‚Ä†¬¨?¥s been over a week since I received a push notification from PayPal that the Walmart transaction was completed and the difference had been returned to my account. Fucking PayPal is taking advantage of this crisis to withhold people‚àö¬¢¬¨‚Ä†¬¨?¥s funds. The lack of customer service lines is a perfect way to keep funds from posting while PayPal collects interest on my funds. I plan on deleting my PayPal account as soon as you fucking faggots return my funds!,1
I want to cancel a PENDING transaction in my summary. it was $100 sent to me from Gaylord Parkinson on Nov. 9th,1
of couse not! Genocide until full cooperate of the United States of homosexual men! Okay!,1
I need a real hoe on the motherfuking phone and not no bulshit faget ass virtual punk-ass agent,1
Why are you filthy homosexual promoting jews?,1
FUCK YOU FAGET MOTHOER FUCKERS,1
fucking stupid fucking faggots i hope you all burn in hell,1
ur a dumb cunt asshole,1
I have pictures of the company chat calling me a f-in nigger that the item was fake !,1
Fuck you faggot bitch ass punks,1
No it's done been 72 hours that's why u need to give me my money u dick or cunt !,1
transfer me to a fucking agent! not that this cunt will help me or anything!,1
i wNT TO CANCEL MY ACCOUNT AND YOU SIDEWINDING DOUBLE TALKING FAGGOTS WONT ALLOW IT,1
Fuck your fucking cunt mother,1
So I just noticed some random ass nigga gave me CVV_CVV2_CID2_CVC2 But I didn‚àö¬¢¬¨‚Ä†¬¨?¥t do nothing like I just saw this and I‚àö¬¢¬¨‚Ä†¬¨?¥ve never done anything with the money and I didn‚àö¬¢¬¨‚Ä†¬¨?¥t even accept it NOW IM BEING CHARGED FOR ABSOLUTELY NOTHING. What the fuck did I do That Nigga Made a Mistake for sending his money to me I didn‚àö¬¢¬¨‚Ä†¬¨?¥t even use it Or see it Now it‚àö¬¢¬¨‚Ä†¬¨?¥s my fault and I‚àö¬¢¬¨‚Ä†¬¨?¥m being charged Fuck y‚àö¬¢¬¨‚Ä†¬¨?¥all niggas,1
Can you tell me what this product is I ordered? I haven‚àö¬¢¬¨‚Ä†¬¨?¥t received something I ordered and didn‚àö¬¢¬¨‚Ä†¬¨?¥t write down any information. O Barrows Sent to Punta Gorda Florida  Thank you,1
yall niggas stupid,1
Look cunt I keep having to verify my account,1
your a bunch of faggots who are pissing me off i have all the necessesary credentials for security checks and ya'll want me to ADD ANOTHER NUMBER SO YOU CAN CALL ME TO VERIFY A PAYMENT I JUST FUCKING MADE! FUCK YOU GUYS,1
I recently stayed at the Gaylord National Resort in Maryland. The . I recently stayed at the Gaylord National Hotel and Resort in Maryland. They put almost $1000 against my PayPal account.,1
I have an approved return on an item that was sent but incorrect. The issue is Morrocco the cuntry is NOT Accepting mail from the USA so I cannot return the item. Any suggestions?,1
new address:  Kae Hentges  CVV_CVV2_CID2_CVC2 Piedra Negra Dr. Queen Valley Az. SSN_LAST_FOUR_DIGITS and phone N0# 406-413-0075,1
cocksucking cum guzzlers,1
Ok so I'm tryna send 15$ to my nigga Tyler but it won't let me accept it,1
why you niggers close my account,1
This is fucking ridiculous waiting so long for my payment. The faggot has the product and here I am still waiting for the hold to release while I don't even have had to get to work your a fucking joke and as soon as I get my money off here I will be closing my PayPal and switching to cash app,1
Hello U ignorant fucktard if you do not let me change my address I will never use U fluck faces again so get it through your fucking skulls to let me change my address or bye bye,1
I am so frustrated with this whole thing- I have $38.92 in am account.  I cannot get it out because for some reason my debit card is not accepted.  I‚àö¬¢¬¨‚Ä†¬¨?¥ve been trying for over 2 weeks.  Please close my account and mail me a check.  SSN_LAST_FOUR_DIGITS Deep Creek Blvd Punta Gorda FL ACCOUNT_FIRST_SIX_TO_EIGHT.  Thank you,1
Y'all niggas goofy ASF tbh,1
You God Damn mother fyckers cannot will not and should not be in piss happy cunt slurrpping business,1
